timestamp,bus,can_id,payload
1780709688.321299,vcan0,605,00
1780709688.321404,vcan0,607,00
1780709688.335741,vcan0,600,00000000
1780709688.335857,vcan0,601,7F000000
1780709688.335941,vcan0,602,00000000
1780709688.351785,vcan0,600,00000000
1780709688.351921,vcan0,601,7F000000
1780709688.352008,vcan0,602,00000000
1780709688.367806,vcan0,600,00000000
1780709688.367944,vcan0,601,7F000000
1780709688.368030,vcan0,602,00000000
1780709688.472742,vcan0,600,00000000
1780709688.472897,vcan0,601,7F000000
1780709688.472998,vcan0,602,00000000
1780709688.473098,vcan0,603,00000000
1780709688.473203,vcan0,604,00
1780709688.473276,vcan0,605,00
1780709688.473346,vcan0,607,00
1780709688.487670,vcan0,600,00000000
1780709688.487799,vcan0,601,7F000000
1780709688.487890,vcan0,602,00000000
1780709688.503839,vcan0,600,00000000
1780709688.503975,vcan0,601,7F000000
1780709688.504068,vcan0,602,00000000
1780709688.519828,vcan0,600,00000000
1780709688.519942,vcan0,601,7F000000
1780709688.520019,vcan0,602,00000000
1780709688.623105,vcan0,600,00000000
1780709688.623255,vcan0,601,7F000000
1780709688.623351,vcan0,602,00000000
1780709688.623469,vcan0,603,00000000
1780709688.623565,vcan0,604,00
1780709688.623651,vcan0,605,00
1780709688.623737,vcan0,607,00
1780709688.638737,vcan0,600,00000000
1780709688.638867,vcan0,601,7F000000
1780709688.638952,vcan0,602,00000000
1780709688.654823,vcan0,600,00000000
1780709688.654956,vcan0,601,7F000000
1780709688.655045,vcan0,602,00000000
1780709688.670855,vcan0,600,00000000
1780709688.670992,vcan0,601,7F000000
1780709688.671093,vcan0,602,00000000
1780709688.780018,vcan0,600,00000000
1780709688.780290,vcan0,601,7F000000
1780709688.780389,vcan0,602,00000000
1780709688.780529,vcan0,603,00000000
1780709688.780625,vcan0,604,00
1780709688.780721,vcan0,605,00
1780709688.780828,vcan0,607,00
1780709688.794745,vcan0,600,00000000
1780709688.794912,vcan0,601,7F000000
1780709688.795027,vcan0,602,00000000
1780709688.810789,vcan0,600,00000000
1780709688.810920,vcan0,601,7F000000
1780709688.810994,vcan0,602,00000000
1780709688.826811,vcan0,600,00000000
1780709688.826990,vcan0,601,7F000000
1780709688.827113,vcan0,602,00000000
1780709688.927093,vcan0,600,00000000
1780709688.927260,vcan0,601,7F000000
1780709688.927353,vcan0,602,00000000
1780709688.927488,vcan0,603,00000000
1780709688.927579,vcan0,604,00
1780709688.927702,vcan0,605,00
1780709688.927770,vcan0,607,00
1780709688.942839,vcan0,600,00000000
1780709688.942980,vcan0,601,7F000000
1780709688.943075,vcan0,602,00000000
1780709688.958802,vcan0,600,00000000
1780709688.958940,vcan0,601,7F000000
1780709688.959032,vcan0,602,00000000
1780709688.973814,vcan0,600,00000000
1780709688.973939,vcan0,601,7F000000
1780709688.974023,vcan0,602,00000000
1780709689.079142,vcan0,600,00000000
1780709689.079333,vcan0,601,7F000000
1780709689.079481,vcan0,602,00000000
1780709689.079559,vcan0,603,00000000
1780709689.079629,vcan0,604,00
1780709689.079707,vcan0,605,00
1780709689.079785,vcan0,607,00
1780709689.094917,vcan0,600,00000000
1780709689.095063,vcan0,601,7F000000
1780709689.095194,vcan0,602,00000000
1780709689.110780,vcan0,600,00000000
1780709689.110940,vcan0,601,7F000000
1780709689.111036,vcan0,602,00000000
1780709689.126790,vcan0,600,00000000
1780709689.126934,vcan0,601,7F000000
1780709689.127048,vcan0,602,00000000
1780709689.225706,vcan0,600,00000000
1780709689.225938,vcan0,601,7F000000
1780709689.226051,vcan0,602,00000000
1780709689.226154,vcan0,603,00000000
1780709689.226256,vcan0,604,00
1780709689.226357,vcan0,605,00
1780709689.226506,vcan0,607,00
1780709689.240849,vcan0,600,00000000
1780709689.240972,vcan0,601,7F000000
1780709689.241049,vcan0,602,00000000
1780709689.256766,vcan0,600,00000000
1780709689.256890,vcan0,601,7F000000
1780709689.256970,vcan0,602,00000000
1780709689.272760,vcan0,600,00000000
1780709689.272865,vcan0,601,7F000000
1780709689.272939,vcan0,602,00000000
1780709689.368786,vcan0,600,00000000
1780709689.369067,vcan0,601,7F000000
1780709689.369184,vcan0,602,00000000
1780709689.369266,vcan0,603,00000000
1780709689.369341,vcan0,604,00
1780709689.369409,vcan0,605,00
1780709689.369506,vcan0,607,00
1780709689.384825,vcan0,600,00000000
1780709689.384943,vcan0,601,7F000000
1780709689.385021,vcan0,602,00000000
1780709689.400760,vcan0,600,00000000
1780709689.400888,vcan0,601,7F000000
1780709689.400964,vcan0,602,00000000
1780709689.416840,vcan0,600,00000000
1780709689.416964,vcan0,601,7F000000
1780709689.417037,vcan0,602,00000000
1780709689.522358,vcan0,600,00000000
1780709689.522545,vcan0,601,7F000000
1780709689.522633,vcan0,602,00000000
1780709689.522741,vcan0,603,00000000
1780709689.522817,vcan0,604,00
1780709689.522898,vcan0,605,00
1780709689.522974,vcan0,607,00
1780709689.537943,vcan0,600,00000000
1780709689.538103,vcan0,601,7F000000
1780709689.538201,vcan0,602,00000000
1780709689.553838,vcan0,600,00000000
1780709689.553969,vcan0,601,7F000000
1780709689.554055,vcan0,602,00000000
1780709689.569832,vcan0,600,00000000
1780709689.569972,vcan0,601,7F000000
1780709689.570061,vcan0,602,00000000
1780709689.674793,vcan0,600,00000000
1780709689.674975,vcan0,601,7F000000
1780709689.675098,vcan0,602,00000000
1780709689.675216,vcan0,603,00000000
1780709689.675310,vcan0,604,00
1780709689.675474,vcan0,605,00
1780709689.675587,vcan0,607,00
1780709689.689908,vcan0,600,00000000
1780709689.690036,vcan0,601,7F000000
1780709689.690110,vcan0,602,00000000
1780709689.705800,vcan0,600,00000000
1780709689.705910,vcan0,601,7F000000
1780709689.705986,vcan0,602,00000000
1780709689.721738,vcan0,600,00000000
1780709689.721870,vcan0,601,7F000000
1780709689.721962,vcan0,602,00000000
1780709689.833261,vcan0,600,00000000
1780709689.833504,vcan0,601,7F000000
1780709689.833601,vcan0,602,00000000
1780709689.833697,vcan0,603,00000000
1780709689.833791,vcan0,604,00
1780709689.833884,vcan0,605,00
