timestamp,bus,can_id,payload
1780710330.670940,vcan0,600,00000000
1780710330.671066,vcan0,601,7F000000
1780710330.671141,vcan0,602,00000000
1780710330.687031,vcan0,600,00000000
1780710330.687152,vcan0,601,7F000000
1780710330.687227,vcan0,602,00000000
1780710330.703028,vcan0,600,00000000
1780710330.703140,vcan0,601,7F000000
1780710330.703209,vcan0,602,00000000
1780710330.727851,vcan0,600,00000000
1780710330.728006,vcan0,601,7F000000
1780710330.728127,vcan0,602,00000000
1780710330.728229,vcan0,603,00000000
1780710330.728341,vcan0,604,00
1780710330.728487,vcan0,605,00
1780710330.728614,vcan0,607,00
1780710330.742953,vcan0,600,00000000
1780710330.743067,vcan0,601,7F000000
1780710330.743135,vcan0,602,00000000
1780710330.758985,vcan0,600,00000000
1780710330.759103,vcan0,601,7F000000
1780710330.759188,vcan0,602,00000000
1780710330.775035,vcan0,600,00000000
1780710330.775142,vcan0,601,7F000000
1780710330.775210,vcan0,602,00000000
1780710330.800034,vcan0,600,00000000
1780710330.800218,vcan0,601,7F000000
1780710330.800308,vcan0,602,00000000
1780710330.800396,vcan0,603,00000000
1780710330.800511,vcan0,604,00
1780710330.800603,vcan0,605,00
1780710330.815213,vcan0,600,00000000
1780710330.815349,vcan0,601,7F000000
1780710330.815423,vcan0,602,00000000
1780710330.831051,vcan0,600,00000000
1780710330.831174,vcan0,601,7F000000
1780710330.831245,vcan0,602,00000000
1780710330.831322,vcan0,607,00
1780710330.847017,vcan0,600,00000000
1780710330.847123,vcan0,601,7F000000
1780710330.847193,vcan0,602,00000000
1780710330.871623,vcan0,600,00000000
1780710330.871824,vcan0,601,7F000000
1780710330.871922,vcan0,602,00000000
1780710330.872019,vcan0,603,00000000
1780710330.872365,vcan0,604,00
1780710330.872522,vcan0,605,00
1780710330.887054,vcan0,600,00000000
1780710330.887239,vcan0,601,7F000000
1780710330.887334,vcan0,602,00000000
1780710330.902968,vcan0,600,00000000
1780710330.903085,vcan0,601,7F000000
1780710330.903153,vcan0,602,00000000
1780710330.919021,vcan0,600,00000000
1780710330.919128,vcan0,601,7F000000
1780710330.919196,vcan0,602,00000000
1780710330.940422,vcan0,600,00000000
1780710330.940639,vcan0,601,7F000000
1780710330.940742,vcan0,602,00000000
1780710330.940839,vcan0,603,00000000
1780710330.940926,vcan0,604,00
1780710330.941018,vcan0,605,00
1780710330.941118,vcan0,607,00
1780710330.955878,vcan0,600,00000000
1780710330.955979,vcan0,601,7F000000
1780710330.956054,vcan0,602,00000000
1780710330.970903,vcan0,600,00000000
1780710330.971020,vcan0,601,7F000000
1780710330.971103,vcan0,602,00000000
1780710330.986970,vcan0,600,00000000
1780710330.987083,vcan0,601,7F000000
1780710330.987164,vcan0,602,00000000
1780710331.008306,vcan0,600,00000000
1780710331.008432,vcan0,601,7F000000
1780710331.008548,vcan0,602,00000000
1780710331.008622,vcan0,603,00000000
1780710331.008689,vcan0,604,00
1780710331.008777,vcan0,605,00
1780710331.023883,vcan0,600,00000000
1780710331.024036,vcan0,601,7F000000
1780710331.024139,vcan0,602,00000000
1780710331.040957,vcan0,600,00000000
1780710331.041099,vcan0,601,7F000000
1780710331.041194,vcan0,602,00000000
1780710331.041281,vcan0,607,00
1780710331.069115,vcan0,600,00000000
1780710331.069259,vcan0,601,7F000000
1780710331.069356,vcan0,602,00000000
1780710331.069485,vcan0,603,00000000
1780710331.069599,vcan0,604,00
1780710331.069713,vcan0,605,00
1780710331.085067,vcan0,600,00000000
1780710331.085203,vcan0,601,7F000000
1780710331.085279,vcan0,602,00000000
